Company Name,Country,Description,Profile URL
Lockheed Martin Corp,USA,"The world's largest military company. It manufactures weapons that are routinely used by the Israeli military against Palestinian civilians and reconnaissance aircraft that are used by US immigration authorities to monitor the US–Mexico border.",https://investigate.afsc.org/company/lockheed-martin
Matrix IT Ltd,Israel,"An Israeli IT service management company and subsidiary of Formula Systems. It provides services and technology to illegal Israeli settlements, the Israeli military, and the Israel Police and Prison Services, and operates one branch in an illegal settlement in the occupied West Bank.",https://investigate.afsc.org/company/matrix-it
Mega Or Holdings Ltd,Israel,An Israeli real estate firm. Develops shopping malls in illegal settlements in the occupied West Bank.,https://investigate.afsc.org/company/mega-or-holdings
Mivne Real Estate (K.D) Ltd,Israel,"One of Israel's largest real estate companies, specializes in properties for industrial or commercial use. Owns multiple industrial spaces in the occupied West Bank and Golan Heights.",https://investigate.afsc.org/company/mivne-real-estate-kd
Mizrahi Tefahot Bank Ltd,Israel,"A major Israeli bank. Financed the construction of multiple illegal settlements in the occupied Palestinian territory. Has branches in illegal settlements. Discriminates against Palestinian citizens of Israel.",https://investigate.afsc.org/company/mizrahi-tefahot-bank
Mordechai Aviv Taasiot Beniyah (1973) Ltd,Israel,An Israeli construction and real estate development company that constructs residential and commercial projects in illegal Israeli settlements in the occupied Palestinian territory.,https://investigate.afsc.org/company/mordechai-aviv-taasiot
Motorola Solutions Inc,USA,"A US-based communications and surveillance company. Its surveillance products are used in US prisons, along the US–Mexico border, and by US police departments. Its equipment is installed in illegal Israeli settlements and along the separation wall in the occupied West Bank and is used by the Israeli military, police, and prison service.",https://investigate.afsc.org/company/motorola-solns
Municipal Bank Ltd,Israel,"A major Israeli bank specializing in credit for local municipalities. Financed the construction of public projects in multiple illegal settlements in the occupied Palestinian territory. Has branches in settlements.",https://investigate.afsc.org/company/municipal-bank
Northrop Grumman Corp,USA,"The world's third-largest military company. It manufactures weapons that are used by the Israeli military against Palestinian civilians and surveillance technologies used by US immigration authorities to monitor the US–Mexico border.",https://investigate.afsc.org/company/northrop-grumman
Oron Group Investments & Holdings Ltd,Israel,An Israeli development and engineering firm. Operates a quarry and factory in the occupied West Bank and involved in illegal settlement construction.,https://investigate.afsc.org/company/oron-group
Oshkosh Corp,USA,An American industrial company that provides specialty trucks and military vehicles to the Israeli military.,https://investigate.afsc.org/company/oshkosh
Palantir Technologies Inc,USA,"A militarized high-tech data analytics firm that enables Israeli war crimes, US deportations and military operations, and controversial policing tactics.",https://investigate.afsc.org/company/palantir
Partner Communications Co Ltd,Israel,"One of the largest Israeli providers of cellular phone services. Has hundreds of antennas and other communications facilities in the occupied West Bank and Golan Heights. Services illegal settlements and military bases in the occupied West Bank.",https://investigate.afsc.org/company/partner-communications-co
Paz Retail And Energy Ltd,Israel,"Israel's largest fuel and gas retailer, supplying Israel's illegal settlements, military, police, and prisons.",https://investigate.afsc.org/company/paz
Primo Brands Corp,USA,"A US-based multinational water company. Its Israeli subsidiary Eden Springs extracts water from the occupied Golan Heights and is headquartered in an illegal settlement there.",https://investigate.afsc.org/company/primo-brands
Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,Israel,"Israel's third largest grocery store chain. Owns real estate and operates stores in multiple illegal settlements in the occupied West Bank.",https://investigate.afsc.org/company/rami-levi-chain-stores
RENK Group AG,Germany,A German company that makes transmissions for Israel's Merkava battle tank and Namer armored personnel carrier.,https://investigate.afsc.org/company/renk-group
Rolls-Royce Holdings plc,UK,"The UK's second largest weapons manufacturer. Its German subsidiary MTU makes the engines for Israel's battle tanks, armored personnel carriers, and warships.",https://investigate.afsc.org/company/rolls-royce-hldgs
Rotshtein Realestate Ltd,Israel,An Israeli construction company that has built residential housing projects in illegal Israeli settlements in the occupied West Bank. It previously constructed facilities for the Israeli military.,https://investigate.afsc.org/company/rotshtein-realestate
RTX Corp,USA,"The world's second-largest military company, formerly known as Raytheon Technologies. It makes missiles, bombs, components for fighter jets, and other weapon systems used by the Israeli military against Palestinian civilians. Its surveillance technology is also used to monitor the U.S.–Mexico border.",https://investigate.afsc.org/company/rtx
Salomon A. Angel Ltd,Israel,"One of Israel's largest bread and pastries companies. It operates bakeries in two illegal Israeli settlement neighborhoods of occupied East Jerusalem: Gilo and Ramat Shlomo.",https://investigate.afsc.org/company/salomon-angel
Shapir Engineering and Industry Ltd,Israel,"An Israeli construction and infrastructure firm. Operates a quarry and concrete plant in the occupied West Bank and involved in several development projects in illegal settlements there.",https://investigate.afsc.org/company/shapir-eng-industry
Shikun & Binui Ltd,Israel,"An Israeli infrastructure and construction company. Builds infrastructure and residential projects in multiple illegal settlements in the occupied West Bank and has a factory in a settlement. Involved in building military checkpoints and the Gaza wall.",https://investigate.afsc.org/company/shikun-binui
Shufersal Ltd,Israel,One of the largest grocery store chains in Israel. It operates branches and manufactures food products in illegal Israeli settlements in the occupied West Bank and Golan Heights.,https://investigate.afsc.org/company/shufersal
Shunfeng International Clean Energy Ltd,China,A Chinese solar energy company. Its solar panels are used in illegal Israeli settlements in the occupied West Bank and Golan Heights.,https://investigate.afsc.org/company/shunfeng-intl-clean
Sturm Ruger & Company Inc,USA,"A US-based manufacturer of firearms and tactical gear. It sells its products to law enforcement agencies, the US military, and foreign militaries, including the Israeli military, which uses Ruger weapons to target Palestinians.",https://investigate.afsc.org/company/sturm-ruger-company
Textron Inc,USA,"A US-based military contractor, known for its Beechcraft, Bell, Cessna, and Hawker aircraft, some of which are used to monitor the US–Mexico border and by the Israeli military.",https://investigate.afsc.org/company/textron
Themis GREN Ltd,Israel,An Israeli real estate construction and development company that builds housing and commercial projects in the occupied Palestinian territory.,https://investigate.afsc.org/company/themis-gren
thyssenkrupp AG,Germany,A German engineering company that has provided the Israeli Navy with warships and submarines.,https://investigate.afsc.org/company/thyssenkrupp
Tigbur-Temporary Professional Personnel Ltd,Israel,"An Israeli staffing agency for the private security industry. Its subsidiary Reshef Security provides security services to illegal Israeli settlements, infrastructure projects, and military checkpoints in the occupied West Bank and Golan Heights.",https://investigate.afsc.org/company/tigbur
Valero Energy Corp,USA,A US multinational oil & gas company. Provides Israel with fuel for aircraft used by the Israeli air force against Palestinian civilians.,https://investigate.afsc.org/company/valero-energy
Woodward Inc,USA,A US weapons manufacturer that makes components for multiple weapons systems used by Israel to target civilians.,https://investigate.afsc.org/company/woodward
Z M H Hammerman Ltd,Israel,"An Israeli construction and real estate company that has built residential and commercial projects in illegal Israeli settlements in the occupied West Bank. Its subsidiary Giltek Infrastructure Works has performed construction work for the Israeli Ministry of Defense.",https://investigate.afsc.org/company/z-m-h-hammerman
